orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipperid,freight,productid,unitprice,quantity,discount,companyname,contactname,contacttitle,customercity,customercountry,employeename,title,employeecity,employeecountry,reportsto,categoryid,categoryname,description,productname,quantityperunit,productunitprice,discontinued,shippercompany
10256,WELLI,3,7/15/2013,8/12/2013,7/17/2013,2,13.97,53,26.2,15,0,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil,Janet Leverling,Sales Representative,New York,USA,8,6,Meat & Poultry,Prepared meats,Perth Pasties,48 pieces,32.8,1,United Package
10256,WELLI,3,7/15/2013,8/12/2013,7/17/2013,2,13.97,77,10.4,12,0,Wellington Importadora,Paula Parente,Sales Manager,Resende,Brazil,Janet Leverling,Sales Representative,New York,USA,8,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Original Frankfurter GrÃ¼ne SoÃŸe,12 boxes,13,0,United Package
10257,HILAA,4,7/16/2013,8/13/2013,7/22/2013,3,81.91,27,35.1,25,0,HILARION-Abastos,Carlos HernÃ¡ndez,Sales Representative,San CristÃ³bal,Venezuela,Margaret Peacock,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Schoggi Schokolade,100 - 100 g pieces,43.9,0,Federal Shipping
10257,HILAA,4,7/16/2013,8/13/2013,7/22/2013,3,81.91,39,14.4,6,0,HILARION-Abastos,Carlos HernÃ¡ndez,Sales Representative,San CristÃ³bal,Venezuela,Margaret Peacock,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chartreuse verte,750 cc per bottle,18,0,Federal Shipping
10257,HILAA,4,7/16/2013,8/13/2013,7/22/2013,3,81.91,77,10.4,15,0,HILARION-Abastos,Carlos HernÃ¡ndez,Sales Representative,San CristÃ³bal,Venezuela,Margaret Peacock,Sales Representative,New York,USA,8,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Original Frankfurter GrÃ¼ne SoÃŸe,12 boxes,13,0,Federal Shipping
10258,ERNSH,1,7/17/2013,8/14/2013,7/23/2013,1,140.51,2,15.2,50,0.2,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Nancy Davolio,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chang,24 - 12 oz bottles,19,0,Speedy Express
10258,ERNSH,1,7/17/2013,8/14/2013,7/23/2013,1,140.51,5,17,65,0.2,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Nancy Davolio,Sales Representative,New York,USA,8,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Chef Anton's Gumbo Mix,36 boxes,21.35,1,Speedy Express
10258,ERNSH,1,7/17/2013,8/14/2013,7/23/2013,1,140.51,32,25.6,6,0.2,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Nancy Davolio,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Mascarpone Fabioli,24 - 200 g pkgs.,32,0,Speedy Express
10259,CENTC,4,7/18/2013,8/15/2013,7/25/2013,3,3.25,21,8,10,0,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Mexico City,Mexico,Margaret Peacock,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Sir Rodney's Scones,24 pkgs. x 4 pieces,10,0,Federal Shipping
10259,CENTC,4,7/18/2013,8/15/2013,7/25/2013,3,3.25,37,20.8,1,0,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Mexico City,Mexico,Margaret Peacock,Sales Representative,New York,USA,8,8,Seafood,Seaweed and fish,Gravad lax,12 - 500 g pkgs.,26,0,Federal Shipping
10260,OTTIK,4,7/19/2013,8/16/2013,7/29/2013,1,55.09,41,7.7,16,0.25,Ottilies KÃ¤seladen,Henriette Pfalzheim,Owner,KÃ¶ln,Germany,Margaret Peacock,Sales Representative,New York,USA,8,8,Seafood,Seaweed and fish,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,0,Speedy Express
10260,OTTIK,4,7/19/2013,8/16/2013,7/29/2013,1,55.09,57,15.6,50,0,Ottilies KÃ¤seladen,Henriette Pfalzheim,Owner,KÃ¶ln,Germany,Margaret Peacock,Sales Representative,New York,USA,8,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Ravioli Angelo,24 - 250 g pkgs.,19.5,0,Speedy Express
10260,OTTIK,4,7/19/2013,8/16/2013,7/29/2013,1,55.09,62,39.4,15,0.25,Ottilies KÃ¤seladen,Henriette Pfalzheim,Owner,KÃ¶ln,Germany,Margaret Peacock,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Tarte au sucre,48 pies,49.3,0,Speedy Express
10260,OTTIK,4,7/19/2013,8/16/2013,7/29/2013,1,55.09,70,12,21,0.25,Ottilies KÃ¤seladen,Henriette Pfalzheim,Owner,KÃ¶ln,Germany,Margaret Peacock,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Outback Lager,24 - 355 ml bottles,15,0,Speedy Express
10261,QUEDE,4,7/19/2013,8/16/2013,7/30/2013,2,3.05,21,8,20,0,Que DelÃ­cia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8,3,Confections,"Desserts, candies, and sweet breads",Sir Rodney's Scones,24 pkgs. x 4 pieces,10,0,United Package
10261,QUEDE,4,7/19/2013,8/16/2013,7/30/2013,2,3.05,35,14.4,20,0,Que DelÃ­cia,Bernardo Batista,Accounting Manager,Rio de Janeiro,Brazil,Margaret Peacock,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Steeleye Stout,24 - 12 oz bottles,18,0,United Package
10262,RATTC,8,7/22/2013,8/19/2013,7/25/2013,3,48.29,5,17,12,0.2,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Laura Callahan,Sales Manager,New York,USA,2,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Chef Anton's Gumbo Mix,36 boxes,21.35,1,Federal Shipping
10262,RATTC,8,7/22/2013,8/19/2013,7/25/2013,3,48.29,7,24,15,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Laura Callahan,Sales Manager,New York,USA,2,7,Produce,Dried fruit and bean curd,Uncle Bob's Organic Dried Pears,12 - 1 lb pkgs.,30,0,Federal Shipping
10262,RATTC,8,7/22/2013,8/19/2013,7/25/2013,3,48.29,56,30.4,2,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Laura Callahan,Sales Manager,New York,USA,2,5,Grains & Cereals,"Breads, crackers, pasta, and cereal",Gnocchi di nonna Alice,24 - 250 g pkgs.,38,0,Federal Shipping
10263,ERNSH,9,7/23/2013,8/20/2013,7/31/2013,3,146.06,16,13.9,60,0.25,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Anne Dodsworth,Sales Representative,London,UK,5,3,Confections,"Desserts, candies, and sweet breads",Pavlova,32 - 500 g boxes,17.45,0,Federal Shipping
10263,ERNSH,9,7/23/2013,8/20/2013,7/31/2013,3,146.06,24,3.6,28,0,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Anne Dodsworth,Sales Representative,London,UK,5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Guarana Fantastica,12 - 355 ml cans,4.5,1,Federal Shipping
10263,ERNSH,9,7/23/2013,8/20/2013,7/31/2013,3,146.06,30,20.7,60,0.25,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Anne Dodsworth,Sales Representative,London,UK,5,8,Seafood,Seaweed and fish,Nord-Ost Matjeshering,10 - 200 g glasses,25.89,0,Federal Shipping
10263,ERNSH,9,7/23/2013,8/20/2013,7/31/2013,3,146.06,74,8,36,0.25,Ernst Handel,Roland Mendel,Sales Manager,Graz,Austria,Anne Dodsworth,Sales Representative,London,UK,5,7,Produce,Dried fruit and bean curd,Longlife Tofu,5 kg pkg.,10,0,Federal Shipping
10264,FOLKO,6,7/24/2013,8/21/2013,8/23/2013,3,3.67,2,15.2,35,0,Folk och fÃ¤ HB,Maria Larsson,Owner,BrÃ¤cke,Sweden,Michael Suyama,Sales Representative,London,UK,5,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Chang,24 - 12 oz bottles,19,0,Federal Shipping
10264,FOLKO,6,7/24/2013,8/21/2013,8/23/2013,3,3.67,41,7.7,25,0.15,Folk och fÃ¤ HB,Maria Larsson,Owner,BrÃ¤cke,Sweden,Michael Suyama,Sales Representative,London,UK,5,8,Seafood,Seaweed and fish,Jack's New England Clam Chowder,12 - 12 oz cans,9.65,0,Federal Shipping
10265,BLONP,2,7/25/2013,8/22/2013,8/12/2013,1,55.28,17,31.2,30,0,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,Strasbourg,France,Andrew Fuller,Vice President Sales,New York,USA,NULL,6,Meat & Poultry,Prepared meats,Alice Mutton,20 - 1 kg tins,39,1,Speedy Express
10265,BLONP,2,7/25/2013,8/22/2013,8/12/2013,1,55.28,70,12,20,0,Blondesddsl pÃ¨re et fils,FrÃ©dÃ©rique Citeaux,Marketing Manager,Strasbourg,France,Andrew Fuller,Vice President Sales,New York,USA,NULL,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Outback Lager,24 - 355 ml bottles,15,0,Speedy Express
10266,WARTH,3,7/26/2013,9/6/2013,7/31/2013,3,25.73,12,30.4,12,0.05,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Janet Leverling,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Queso Manchego La Pastora,10 - 500 g pkgs.,38,0,Federal Shipping
10267,FRANK,4,7/29/2013,8/26/2013,8/6/2013,1,208.58,40,14.7,50,0,Frankenversand,Peter Franken,Marketing Manager,MÃ¼nchen,Germany,Margaret Peacock,Sales Representative,New York,USA,8,8,Seafood,Seaweed and fish,Boston Crab Meat,24 - 4 oz tins,18.4,0,Speedy Express
10267,FRANK,4,7/29/2013,8/26/2013,8/6/2013,1,208.58,59,44,70,0.15,Frankenversand,Peter Franken,Marketing Manager,MÃ¼nchen,Germany,Margaret Peacock,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Raclette Courdavault,5 kg pkg.,55,0,Speedy Express
10267,FRANK,4,7/29/2013,8/26/2013,8/6/2013,1,208.58,76,14.4,15,0.15,Frankenversand,Peter Franken,Marketing Manager,MÃ¼nchen,Germany,Margaret Peacock,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",LakkalikÃ¶ri,500 ml,18,0,Speedy Express
10268,GROSR,8,7/30/2013,8/27/2013,8/2/2013,3,66.29,29,99,10,0,GROSELLA-Restaurante,Manuel Pereira,Owner,Caracas,Venezuela,Laura Callahan,Sales Manager,New York,USA,2,6,Meat & Poultry,Prepared meats,ThÃ¼ringer Rostbratwurst,50 bags x 30 sausgs.,123.79,1,Federal Shipping
10268,GROSR,8,7/30/2013,8/27/2013,8/2/2013,3,66.29,72,27.8,4,0,GROSELLA-Restaurante,Manuel Pereira,Owner,Caracas,Venezuela,Laura Callahan,Sales Manager,New York,USA,2,4,Dairy Products,Cheeses,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,Federal Shipping
10269,WHITC,5,7/31/2013,8/14/2013,8/9/2013,1,4.56,33,2,60,0.05,White Clover Markets,Karl Jablonski,Owner,Seattle,USA,Steven Buchanan,Sales Manager,London,UK,2,4,Dairy Products,Cheeses,Geitost,500 g,2.5,0,Speedy Express
10269,WHITC,5,7/31/2013,8/14/2013,8/9/2013,1,4.56,72,27.8,20,0.05,White Clover Markets,Karl Jablonski,Owner,Seattle,USA,Steven Buchanan,Sales Manager,London,UK,2,4,Dairy Products,Cheeses,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,Speedy Express
10270,WARTH,1,8/1/2013,8/29/2013,8/2/2013,1,136.54,36,15.2,30,0,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Nancy Davolio,Sales Representative,New York,USA,8,8,Seafood,Seaweed and fish,Inlagd Sill,24 - 250 g  jars,19,0,Speedy Express
10270,WARTH,1,8/1/2013,8/29/2013,8/2/2013,1,136.54,43,36.8,25,0,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,Finland,Nancy Davolio,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Ipoh Coffee,16 - 500 g tins,46,0,Speedy Express
10271,SPLIR,6,8/1/2013,8/29/2013,8/30/2013,2,4.54,33,2,24,0,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,USA,Michael Suyama,Sales Representative,London,UK,5,4,Dairy Products,Cheeses,Geitost,500 g,2.5,0,United Package
10272,RATTC,6,8/2/2013,8/30/2013,8/6/2013,2,98.03,20,64.8,6,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Michael Suyama,Sales Representative,London,UK,5,3,Confections,"Desserts, candies, and sweet breads",Sir Rodney's Marmalade,30 gift boxes,81,0,United Package
10272,RATTC,6,8/2/2013,8/30/2013,8/6/2013,2,98.03,31,10,40,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Michael Suyama,Sales Representative,London,UK,5,4,Dairy Products,Cheeses,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,United Package
10272,RATTC,6,8/2/2013,8/30/2013,8/6/2013,2,98.03,72,27.8,24,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,USA,Michael Suyama,Sales Representative,London,UK,5,4,Dairy Products,Cheeses,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,United Package
10273,QUICK,3,8/5/2013,9/2/2013,8/12/2013,3,76.07,10,24.8,24,0.05,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Janet Leverling,Sales Representative,New York,USA,8,8,Seafood,Seaweed and fish,Ikura,12 - 200 ml jars,31,0,Federal Shipping
10273,QUICK,3,8/5/2013,9/2/2013,8/12/2013,3,76.07,31,10,15,0.05,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Janet Leverling,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Gorgonzola Telino,12 - 100 g pkgs,12.5,0,Federal Shipping
10273,QUICK,3,8/5/2013,9/2/2013,8/12/2013,3,76.07,33,2,20,0,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Janet Leverling,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Geitost,500 g,2.5,0,Federal Shipping
10273,QUICK,3,8/5/2013,9/2/2013,8/12/2013,3,76.07,40,14.7,60,0.05,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Janet Leverling,Sales Representative,New York,USA,8,8,Seafood,Seaweed and fish,Boston Crab Meat,24 - 4 oz tins,18.4,0,Federal Shipping
10273,QUICK,3,8/5/2013,9/2/2013,8/12/2013,3,76.07,76,14.4,33,0.05,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,Germany,Janet Leverling,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",LakkalikÃ¶ri,500 ml,18,0,Federal Shipping
10274,VINET,6,8/6/2013,9/3/2013,8/16/2013,1,6.01,71,17.2,20,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Michael Suyama,Sales Representative,London,UK,5,4,Dairy Products,Cheeses,Flotemysost,10 - 500 g pkgs.,21.5,0,Speedy Express
10274,VINET,6,8/6/2013,9/3/2013,8/16/2013,1,6.01,72,27.8,7,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,France,Michael Suyama,Sales Representative,London,UK,5,4,Dairy Products,Cheeses,Mozzarella di Giovanni,24 - 200 g pkgs.,34.8,0,Speedy Express
10275,MAGAA,1,8/7/2013,9/4/2013,8/9/2013,1,26.93,24,3.6,12,0.05,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Bergamo,Italy,Nancy Davolio,Sales Representative,New York,USA,8,1,Beverages,"Soft drinks, coffees, teas, beers, and ales",Guarana Fantastica,12 - 355 ml cans,4.5,1,Speedy Express
10275,MAGAA,1,8/7/2013,9/4/2013,8/9/2013,1,26.93,59,44,6,0.05,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Bergamo,Italy,Nancy Davolio,Sales Representative,New York,USA,8,4,Dairy Products,Cheeses,Raclette Courdavault,5 kg pkg.,55,0,Speedy Express
10276,TORTU,8,8/8/2013,8/22/2013,8/14/2013,3,13.84,10,24.8,15,0,Tortuga Restaurante,Miguel Angel Paolino,Owner,Mexico City,Mexico,Laura Callahan,Sales Manager,New York,USA,2,8,Seafood,Seaweed and fish,Ikura,12 - 200 ml jars,31,0,Federal Shipping
10276,TORTU,8,8/8/2013,8/22/2013,8/14/2013,3,13.84,13,4.8,10,0,Tortuga Restaurante,Miguel Angel Paolino,Owner,Mexico City,Mexico,Laura Callahan,Sales Manager,New York,USA,2,8,Seafood,Seaweed and fish,Konbu,2 kg box,6,0,Federal Shipping
10277,MORGK,2,8/9/2013,9/6/2013,8/13/2013,3,125.77,28,36.4,20,0,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Leipzig,Germany,Andrew Fuller,Vice President Sales,New York,USA,NULL,7,Produce,Dried fruit and bean curd,RÃ¶ssle Sauerkraut,25 - 825 g cans,45.6,1,Federal Shipping
10277,MORGK,2,8/9/2013,9/6/2013,8/13/2013,3,125.77,62,39.4,12,0,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Leipzig,Germany,Andrew Fuller,Vice President Sales,New York,USA,NULL,3,Confections,"Desserts, candies, and sweet breads",Tarte au sucre,48 pies,49.3,0,Federal Shipping
10278,BERGS,8,8/12/2013,9/9/2013,8/16/2013,2,92.69,44,15.5,16,0,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,LuleÃ¥,Sweden,Laura Callahan,Sales Manager,New York,USA,2,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Gula Malacca,20 - 2 kg bags,19.45,0,United Package
10278,BERGS,8,8/12/2013,9/9/2013,8/16/2013,2,92.69,59,44,15,0,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,LuleÃ¥,Sweden,Laura Callahan,Sales Manager,New York,USA,2,4,Dairy Products,Cheeses,Raclette Courdavault,5 kg pkg.,55,0,United Package
10278,BERGS,8,8/12/2013,9/9/2013,8/16/2013,2,92.69,63,35.1,8,0,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,LuleÃ¥,Sweden,Laura Callahan,Sales Manager,New York,USA,2,2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",Vegie-spread,15 - 625 g jars,43.9,0,United Package
10278,BERGS,8,8/12/2013,9/9/2013,8/16/2013,2,92.69,73,12,25,0,Berglunds snabbkÃ¶p,Christina Berglund,Order Administrator,LuleÃ¥,Sweden,Laura Callahan,Sales Manager,New York,USA,2,8,Seafood,Seaweed and fish,RÃ¶d Kaviar,24 - 150 g jars,15,0,United Package
10279,LEHMS,8,8/13/2013,9/10/2013,8/16/2013,2,25.83,17,31.2,15,0.25,Lehmanns Marktstand,Renate Messner,Sales Representative,Frankfurt a.M.,Germany,Laura Callahan,Sales Manager,New York,USA,2,6,Meat & Poultry,Prepared meats,Alice Mutton,20 - 1 kg tins,39,1,United Package
